"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","CP-002AH-ND","PJ-002AH","CONN PWR JACK 2X5.5MM SOLDER","DAH201","2","0","0.81000","1.62"
"2","2","641-1310-1-ND","1N4001-G","DIODE GEN PURP 50V 1A DO41","DAH201","2","0","0.21000","0.42"
"3","2","296-47192-ND","LM7805CT/NOPB","IC REG LINEAR 5V 1A TO220-3","DAH201","2","0","1.97000","3.94"
"4","10","445-181160-ND","FA26X7R1E106KRU00","CAP CER 10UF 25V X7R RADIAL","DAH201","10","0","0.59400","5.94"
"5","5","445-180543-1-ND","FA18X7R1E105KRU06","CAP CER 1UF 25V X7R RADIAL","DAH201","5","0","0.37000","1.85"
"6","15","490-9145-1-ND","RDER71H104K0S1H03A","CAP CER 0.1UF 50V X7R RADIAL","DAH201","15","0","0.32300","4.85"
"7","2","XC1759-ND","ECS-160-20-46X","CRYSTAL 16.0000MHZ 20PF TH","dah201","2","0","0.39000","0.78"
"8","5","445-173230-1-ND","FG18C0G2A220JNT06","CAP CER 22PF 100V C0G RADIAL","DAH201","5","0","0.27000","1.35"
"9","2","AD7302BNZ-ND","AD7302BNZ","IC DAC 8BIT V-OUT 20DIP","DAH201","2","0","10.92000","21.84"
"10","5","A105698-ND","H8100RBYA","RES 100 OHM 0.1% 1/4W AXIAL","DAH201","5","0","1.65000","8.25"
"11","2","SAM10918-ND","BNC7T-J-P-HN-RA-BH1","CONN BNC JACK R/A 75 OHM PCB","DAH201","2","0","20.83000","41.66"
"12","2","UE27AC54100-ND","UE27AC54100","CONN RCPT USB2.0 TYPEA 4POS R/A","DAH201","2","0","0.67000","1.34"
"13","1","1050-1049-ND","A000062","ARDUINO DUE ATSAM3X8E EVAL BRD","DAH201","1","0","48.40000","48.40"
